step,db_id,n_icl,correct,cumulative_regret,mem_size
240,european_football_2,3,0,165.0000,76
241,formula_1,3,0,166.0000,76
242,european_football_2,3,0,167.0000,76
243,student_club,3,1,167.0000,77
244,codebase_community,3,1,167.0000,78
245,toxicology,3,0,168.0000,78
246,financial,3,0,169.0000,78
247,student_club,3,0,170.0000,78
248,codebase_community,3,1,170.0000,79
249,codebase_community,3,1,170.0000,80
250,card_games,3,0,171.0000,80
251,card_games,3,1,171.0000,81
252,financial,3,0,172.0000,81
253,card_games,3,1,172.0000,82
254,financial,3,0,173.0000,82
255,debit_card_specializing,3,1,173.0000,83
256,formula_1,3,0,174.0000,83
257,formula_1,3,0,175.0000,83
258,financial,3,0,176.0000,83
259,california_schools,3,1,176.0000,84
260,thrombosis_prediction,3,0,177.0000,84
261,student_club,3,0,178.0000,84
262,codebase_community,3,1,178.0000,85
263,toxicology,3,0,179.0000,85
264,formula_1,3,0,180.0000,85
265,debit_card_specializing,3,1,180.0000,86
266,toxicology,3,1,180.0000,87
267,card_games,3,0,181.0000,87
268,formula_1,3,0,182.0000,87
269,student_club,3,0,183.0000,87
270,financial,3,0,184.0000,87
271,student_club,3,0,185.0000,87
272,formula_1,3,0,186.0000,87
273,superhero,3,1,186.0000,88
274,formula_1,3,1,186.0000,89
275,student_club,3,0,187.0000,89
276,thrombosis_prediction,3,0,188.0000,89
277,codebase_community,3,0,189.0000,89
278,thrombosis_prediction,3,0,190.0000,89
279,formula_1,3,1,190.0000,90
280,codebase_community,3,1,190.0000,91
281,formula_1,3,1,190.0000,92
282,codebase_community,3,0,191.0000,92
283,codebase_community,3,0,192.0000,92
284,toxicology,3,0,193.0000,92
285,thrombosis_prediction,3,0,194.0000,92
286,codebase_community,3,0,195.0000,92
287,formula_1,3,0,196.0000,92
288,thrombosis_prediction,3,0,197.0000,92
289,superhero,3,0,198.0000,92
290,california_schools,3,1,198.0000,93
291,california_schools,3,0,199.0000,93
292,superhero,3,1,199.0000,94
293,card_games,3,0,200.0000,94
294,card_games,3,0,201.0000,94
295,european_football_2,3,1,201.0000,95
296,financial,3,1,201.0000,96
297,european_football_2,3,0,202.0000,96
298,toxicology,3,0,203.0000,96
299,codebase_community,3,0,204.0000,96
300,codebase_community,3,1,204.0000,97
301,formula_1,3,1,204.0000,98
302,superhero,3,0,205.0000,98
303,card_games,3,0,206.0000,98
304,financial,3,1,206.0000,99
305,superhero,3,1,206.0000,100
306,california_schools,3,0,207.0000,100
307,formula_1,3,0,208.0000,100
308,european_football_2,3,1,208.0000,101
309,toxicology,3,0,209.0000,101
310,card_games,3,1,209.0000,102
311,thrombosis_prediction,3,0,210.0000,102
312,california_schools,3,1,210.0000,103
313,card_games,3,1,210.0000,104
314,codebase_community,3,0,211.0000,104
315,student_club,3,0,212.0000,104
316,financial,3,0,213.0000,104
317,codebase_community,3,1,213.0000,105
318,student_club,3,0,214.0000,105
319,codebase_community,3,0,215.0000,105
320,california_schools,3,0,216.0000,105
321,european_football_2,3,0,217.0000,105
322,card_games,3,0,218.0000,105
323,student_club,3,0,219.0000,105
324,european_football_2,3,0,220.0000,105
325,codebase_community,3,1,220.0000,106
326,superhero,3,0,221.0000,106
327,student_club,3,0,222.0000,106
328,student_club,3,0,223.0000,106
329,toxicology,3,0,224.0000,106
330,codebase_community,3,0,225.0000,106
331,financial,3,0,226.0000,106
332,superhero,3,1,226.0000,107
333,codebase_community,3,0,227.0000,107
334,financial,3,0,228.0000,107
335,superhero,3,1,228.0000,108
336,formula_1,3,1,228.0000,109
337,european_football_2,3,0,229.0000,109
338,codebase_community,3,0,230.0000,109
339,formula_1,3,0,231.0000,109
340,formula_1,3,0,232.0000,109
341,codebase_community,3,0,233.0000,109
342,card_games,3,0,234.0000,109
343,student_club,3,0,235.0000,109
344,thrombosis_prediction,3,0,236.0000,109
345,codebase_community,3,0,237.0000,109
346,thrombosis_prediction,3,0,238.0000,109
347,codebase_community,3,1,238.0000,110
348,student_club,3,1,238.0000,111
349,codebase_community,3,1,238.0000,112
350,card_games,3,0,239.0000,112
351,california_schools,3,0,240.0000,112
352,toxicology,3,0,241.0000,112
353,thrombosis_prediction,3,0,242.0000,112
354,debit_card_specializing,3,0,243.0000,112
355,thrombosis_prediction,3,0,244.0000,112
356,toxicology,3,1,244.0000,113
357,student_club,3,0,245.0000,113
