batch_idx,n_train,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,pg_loss,mean_kl,adv_std,ppo_clipfrac,gen_time_s,train_time_s
344,100,0.3087,2385.0000,0.2566,0.3226,0.3260,0.196789,-119.362511,60.6820,0.4487,22.1,14.8
345,100,0.3078,2395.0000,0.2563,0.3213,0.3252,0.120660,-127.711202,62.8168,0.5540,21.7,14.6
346,100,0.3069,2405.0000,0.2560,0.3199,0.3244,632.483412,-134.805912,64.3092,0.6086,21.7,14.5
347,100,0.3060,2415.0000,0.2560,0.3186,0.3234,6888.408521,-139.029794,65.0836,0.6697,21.9,14.7
348,100,0.3052,2425.0000,0.2550,0.3175,0.3228,7206.201636,-142.954173,65.9885,0.5424,21.3,14.7
349,100,0.3043,2435.0000,0.2537,0.3167,0.3223,2.380058,-146.596219,66.3801,0.5015,22.1,14.7
350,100,0.3034,2445.0000,0.2525,0.3160,0.3215,0.072034,-146.907869,65.7172,0.6600,21.7,14.6
351,100,0.3026,2455.0000,0.2515,0.3147,0.3213,-0.001960,-146.881882,64.9249,0.6919,21.3,14.2
352,100,0.3017,2465.0000,0.2515,0.3136,0.3200,0.392851,-140.644807,62.9882,0.6406,22.0,14.4
353,100,0.3008,2475.0000,0.2512,0.3128,0.3187,-0.062730,-132.412422,61.0613,0.6211,22.2,14.6
354,100,0.3000,2485.0000,0.2506,0.3117,0.3180,-0.065616,-126.010389,59.6466,0.6073,21.7,14.9
355,100,0.2992,2495.0000,0.2506,0.3111,0.3162,945.913239,-118.043751,57.6526,0.5864,22.2,15.2
356,100,0.2983,2505.0000,0.2494,0.3103,0.3157,937.992022,-114.594223,56.7597,0.5265,22.2,15.4
357,100,0.2975,2515.0000,0.2488,0.3097,0.3145,0.205350,-110.769096,55.6183,0.4390,22.3,15.5
358,100,0.2967,2525.0000,0.2482,0.3088,0.3135,0.023618,-107.979726,54.5942,0.4441,22.4,15.7
359,100,0.2958,2535.0000,0.2476,0.3076,0.3130,-0.037686,-102.847016,53.4791,0.4829,21.7,15.8
360,100,0.2950,2545.0000,0.2467,0.3068,0.3123,233.331337,-99.935153,52.8515,0.4379,21.8,15.8
361,100,0.2942,2555.0000,0.2464,0.3058,0.3113,0.619819,-93.509153,51.5256,0.3274,21.8,16.1
362,100,0.2934,2565.0000,0.2461,0.3050,0.3101,1.268917,-93.312568,51.4539,0.2293,21.9,16.1
363,100,0.2926,2575.0000,0.2452,0.3043,0.3091,0.383162,-92.211660,51.3068,0.2486,23.8,16.2
364,100,0.2918,2585.0000,0.2449,0.3030,0.3086,0.014549,-89.837802,50.7089,0.3476,22.1,16.1
365,100,0.2910,2595.0000,0.2449,0.3018,0.3077,-0.027912,-88.955018,50.9197,0.3993,21.7,15.9
366,100,0.2902,2605.0000,0.2443,0.3006,0.3072,0.022414,-85.639725,50.2715,0.3962,22.0,16.0
367,100,0.2894,2615.0000,0.2434,0.2998,0.3065,59.513450,-85.372662,50.1057,0.3121,21.9,15.6
368,100,0.2886,2625.0000,0.2428,0.2988,0.3058,0.996864,-81.852447,49.3820,0.1929,21.9,15.5
369,100,0.2878,2635.0000,0.2422,0.2981,0.3049,0.578845,-81.929432,49.6097,0.1897,26.0,15.8
370,100,0.2871,2645.0000,0.2417,0.2971,0.3042,0.022346,-80.041474,49.6929,0.2655,21.9,15.9
371,100,0.2863,2655.0000,0.2411,0.2963,0.3033,-0.055831,-80.483183,50.3568,0.3438,21.8,15.9
372,100,0.2855,2665.0000,0.2405,0.2963,0.3014,-0.061240,-78.767701,49.8299,0.3447,22.3,16.4
373,100,0.2848,2675.0000,0.2394,0.2952,0.3014,9101.041001,-75.762830,48.7385,0.2946,21.2,15.8
374,100,0.2840,2685.0000,0.2388,0.2946,0.3003,62897.709822,-72.874943,47.6565,0.2195,22.2,16.0
375,100,0.2832,2695.0000,0.2377,0.2941,0.2996,16176.433725,-70.675773,46.6036,0.1868,21.8,15.9
376,100,0.2825,2705.0000,0.2374,0.2930,0.2990,1.121912,-68.003166,45.5328,0.1643,21.9,16.0
377,100,0.2817,2715.0000,0.2374,0.2919,0.2981,0.725434,-65.213105,44.8250,0.1541,22.2,16.3
378,100,0.2810,2725.0000,0.2374,0.2909,0.2970,0.161161,-64.939272,44.8787,0.1848,22.1,16.5
379,100,0.2803,2735.0000,0.2358,0.2904,0.2967,0.044678,-62.881991,44.4621,0.1972,21.7,16.1
380,100,0.2795,2745.0000,0.2347,0.2900,0.2959,-0.019192,-62.620037,44.2727,0.2244,22.4,16.1
381,100,0.2788,2755.0000,0.2341,0.2889,0.2954,0.034637,-60.604842,43.3819,0.2195,21.8,16.0
382,100,0.2781,2765.0000,0.2328,0.2884,0.2950,486.110670,-59.701617,42.8759,0.2022,21.6,15.4
383,100,0.2773,2775.0000,0.2325,0.2877,0.2939,3068.183967,-59.382044,42.8049,0.2209,21.7,16.0
384,100,0.2766,2785.0000,0.2315,0.2871,0.2933,2531.723730,-59.884485,43.0567,0.1968,21.9,15.6
385,100,0.2759,2795.0000,0.2312,0.2864,0.2922,0.347511,-59.779011,43.0203,0.1616,22.2,15.9
386,100,0.2752,2805.0000,0.2307,0.2859,0.2911,0.094581,-60.246658,43.2283,0.2060,22.5,16.3
